PYROEXPORT HEADER
RootFile,/Users/hperrey/TaggedNeutrons/Data/Data642.root
HistTitle,TDC c1_5_3
XAxis,
YAxis,
NBins,2048
DATA
lower bin edge,bin content,bin error
0.0,642.0,25.337718918639855
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,1.0,1.0
5.0,0.0,0.0
6.0,2.0,1.4142135623730951
7.0,0.0,0.0
8.0,2.0,1.4142135623730951
9.0,0.0,0.0
10.0,1.0,1.0
11.0,3.0,1.7320508075688772
12.0,1.0,1.0
13.0,3.0,1.7320508075688772
14.0,2.0,1.4142135623730951
15.0,3.0,1.7320508075688772
16.0,0.0,0.0
17.0,6.0,2.449489742783178
18.0,3.0,1.7320508075688772
19.0,5.0,2.23606797749979
20.0,2.0,1.4142135623730951
21.0,1.0,1.0
22.0,3.0,1.7320508075688772
23.0,1.0,1.0
24.0,1.0,1.0
25.0,5.0,2.23606797749979
26.0,3.0,1.7320508075688772
27.0,4.0,2.0
28.0,3.0,1.7320508075688772
29.0,1.0,1.0
30.0,1.0,1.0
31.0,1.0,1.0
32.0,2.0,1.4142135623730951
33.0,3.0,1.7320508075688772
34.0,1.0,1.0
35.0,6.0,2.449489742783178
36.0,3.0,1.7320508075688772
37.0,1.0,1.0
38.0,2.0,1.4142135623730951
39.0,1.0,1.0
40.0,5.0,2.23606797749979
41.0,1.0,1.0
42.0,3.0,1.7320508075688772
43.0,0.0,0.0
44.0,3.0,1.7320508075688772
45.0,9.0,3.0
46.0,6.0,2.449489742783178
47.0,0.0,0.0
48.0,1.0,1.0
49.0,2.0,1.4142135623730951
50.0,1.0,1.0
51.0,2.0,1.4142135623730951
52.0,2.0,1.4142135623730951
53.0,4.0,2.0
54.0,2.0,1.4142135623730951
55.0,2.0,1.4142135623730951
56.0,0.0,0.0
57.0,3.0,1.7320508075688772
58.0,3.0,1.7320508075688772
59.0,2.0,1.4142135623730951
60.0,3.0,1.7320508075688772
61.0,1.0,1.0
62.0,1.0,1.0
63.0,2.0,1.4142135623730951
64.0,1.0,1.0
65.0,5.0,2.23606797749979
66.0,5.0,2.23606797749979
67.0,3.0,1.7320508075688772
68.0,1.0,1.0
69.0,2.0,1.4142135623730951
70.0,3.0,1.7320508075688772
71.0,5.0,2.23606797749979
72.0,4.0,2.0
73.0,0.0,0.0
74.0,3.0,1.7320508075688772
75.0,1.0,1.0
76.0,2.0,1.4142135623730951
77.0,1.0,1.0
78.0,4.0,2.0
79.0,2.0,1.4142135623730951
80.0,2.0,1.4142135623730951
81.0,4.0,2.0
82.0,5.0,2.23606797749979
83.0,2.0,1.4142135623730951
84.0,2.0,1.4142135623730951
85.0,5.0,2.23606797749979
86.0,2.0,1.4142135623730951
87.0,3.0,1.7320508075688772
88.0,6.0,2.449489742783178
89.0,2.0,1.4142135623730951
90.0,1.0,1.0
91.0,3.0,1.7320508075688772
92.0,7.0,2.6457513110645907
93.0,2.0,1.4142135623730951
94.0,3.0,1.7320508075688772
