PYROEXPORT HEADER
RootFile,/Users/hperrey/TaggedNeutrons/Data/Data642.root
HistTitle,TDC c1_5_2
XAxis,
YAxis,
NBins,2048
DATA
lower bin edge,bin content,bin error
0.0,1268.0,35.608987629529715
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,1.0,1.0
6.0,2.0,1.4142135623730951
7.0,2.0,1.4142135623730951
8.0,2.0,1.4142135623730951
9.0,2.0,1.4142135623730951
10.0,6.0,2.449489742783178
11.0,5.0,2.23606797749979
12.0,8.0,2.8284271247461903
13.0,3.0,1.7320508075688772
14.0,5.0,2.23606797749979
15.0,5.0,2.23606797749979
16.0,2.0,1.4142135623730951
17.0,6.0,2.449489742783178
18.0,3.0,1.7320508075688772
19.0,2.0,1.4142135623730951
20.0,6.0,2.449489742783178
21.0,4.0,2.0
22.0,1.0,1.0
23.0,2.0,1.4142135623730951
24.0,8.0,2.8284271247461903
25.0,10.0,3.1622776601683795
26.0,6.0,2.449489742783178
27.0,3.0,1.7320508075688772
28.0,5.0,2.23606797749979
29.0,3.0,1.7320508075688772
30.0,6.0,2.449489742783178
31.0,2.0,1.4142135623730951
32.0,1.0,1.0
33.0,3.0,1.7320508075688772
34.0,3.0,1.7320508075688772
35.0,2.0,1.4142135623730951
36.0,4.0,2.0
37.0,6.0,2.449489742783178
38.0,5.0,2.23606797749979
39.0,7.0,2.6457513110645907
40.0,5.0,2.23606797749979
41.0,5.0,2.23606797749979
42.0,4.0,2.0
43.0,4.0,2.0
44.0,6.0,2.449489742783178
45.0,4.0,2.0
46.0,3.0,1.7320508075688772
47.0,6.0,2.449489742783178
48.0,4.0,2.0
49.0,4.0,2.0
50.0,8.0,2.8284271247461903
51.0,4.0,2.0
52.0,8.0,2.8284271247461903
53.0,6.0,2.449489742783178
54.0,7.0,2.6457513110645907
55.0,4.0,2.0
56.0,7.0,2.6457513110645907
57.0,3.0,1.7320508075688772
58.0,3.0,1.7320508075688772
59.0,6.0,2.449489742783178
60.0,5.0,2.23606797749979
61.0,5.0,2.23606797749979
62.0,3.0,1.7320508075688772
63.0,3.0,1.7320508075688772
64.0,5.0,2.23606797749979
65.0,3.0,1.7320508075688772
66.0,3.0,1.7320508075688772
67.0,2.0,1.4142135623730951
68.0,2.0,1.4142135623730951
69.0,5.0,2.23606797749979
70.0,2.0,1.4142135623730951
71.0,5.0,2.23606797749979
72.0,3.0,1.7320508075688772
73.0,4.0,2.0
74.0,3.0,1.7320508075688772
75.0,6.0,2.449489742783178
76.0,6.0,2.449489742783178
77.0,3.0,1.7320508075688772
78.0,5.0,2.23606797749979
79.0,8.0,2.8284271247461903
80.0,8.0,2.8284271247461903
81.0,4.0,2.0
82.0,2.0,1.4142135623730951
83.0,7.0,2.6457513110645907
84.0,3.0,1.7320508075688772
85.0,2.0,1.4142135623730951
86.0,8.0,2.8284271247461903
87.0,4.0,2.0
88.0,3.0,1.7320508075688772
89.0,3.0,1.7320508075688772
90.0,5.0,2.23606797749979
91.0,5.0,2.23606797749979
92.0,2.0,1.4142135623730951
93.0,8.0,2.8284271247461903
94.0,7.0,2.6457513110645907
95.0,3.0,1.7320508075688772
96.0,1.0,1.0
97.0,6.0,2.449489742783178
98.0,6.0,2.449489742783178
99.0,2.0,1.4142135623730951
100.0,2.0,1.4142135623730951
101.0,5.0,2.23606797749979
102.0,4.0,2.0
