PYROEXPORT HEADER
RootFile,/Users/hperrey/TaggedNeutrons/Data/Data642.root
HistTitle,TDC c1_5_1
XAxis,
YAxis,
NBins,2048
DATA
lower bin edge,bin content,bin error
0.0,533.0,23.08679276123039
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,4.0,2.0
7.0,1.0,1.0
8.0,1.0,1.0
9.0,2.0,1.4142135623730951
10.0,3.0,1.7320508075688772
11.0,1.0,1.0
12.0,3.0,1.7320508075688772
13.0,0.0,0.0
14.0,2.0,1.4142135623730951
15.0,3.0,1.7320508075688772
16.0,1.0,1.0
17.0,1.0,1.0
18.0,1.0,1.0
19.0,4.0,2.0
20.0,1.0,1.0
21.0,2.0,1.4142135623730951
22.0,2.0,1.4142135623730951
23.0,4.0,2.0
24.0,6.0,2.449489742783178
25.0,2.0,1.4142135623730951
26.0,3.0,1.7320508075688772
27.0,1.0,1.0
28.0,3.0,1.7320508075688772
29.0,0.0,0.0
30.0,2.0,1.4142135623730951
31.0,5.0,2.23606797749979
32.0,2.0,1.4142135623730951
33.0,3.0,1.7320508075688772
34.0,1.0,1.0
35.0,5.0,2.23606797749979
36.0,3.0,1.7320508075688772
37.0,1.0,1.0
38.0,1.0,1.0
39.0,2.0,1.4142135623730951
40.0,4.0,2.0
41.0,1.0,1.0
42.0,4.0,2.0
43.0,3.0,1.7320508075688772
44.0,3.0,1.7320508075688772
45.0,0.0,0.0
46.0,2.0,1.4142135623730951
47.0,2.0,1.4142135623730951
48.0,0.0,0.0
49.0,5.0,2.23606797749979
50.0,2.0,1.4142135623730951
51.0,1.0,1.0
52.0,2.0,1.4142135623730951
53.0,0.0,0.0
54.0,3.0,1.7320508075688772
55.0,6.0,2.449489742783178
56.0,1.0,1.0
57.0,3.0,1.7320508075688772
58.0,2.0,1.4142135623730951
59.0,4.0,2.0
60.0,4.0,2.0
61.0,3.0,1.7320508075688772
62.0,3.0,1.7320508075688772
63.0,5.0,2.23606797749979
64.0,4.0,2.0
65.0,2.0,1.4142135623730951
66.0,6.0,2.449489742783178
67.0,2.0,1.4142135623730951
68.0,1.0,1.0
69.0,2.0,1.4142135623730951
70.0,0.0,0.0
71.0,1.0,1.0
72.0,3.0,1.7320508075688772
73.0,1.0,1.0
74.0,4.0,2.0
75.0,2.0,1.4142135623730951
76.0,5.0,2.23606797749979
77.0,4.0,2.0
78.0,2.0,1.4142135623730951
79.0,0.0,0.0
80.0,8.0,2.8284271247461903
81.0,2.0,1.4142135623730951
82.0,1.0,1.0
83.0,2.0,1.4142135623730951
84.0,3.0,1.7320508075688772
85.0,4.0,2.0
86.0,2.0,1.4142135623730951
87.0,8.0,2.8284271247461903
88.0,2.0,1.4142135623730951
89.0,1.0,1.0
90.0,0.0,0.0
91.0,4.0,2.0
92.0,1.0,1.0
93.0,3.0,1.7320508075688772
94.0,3.0,1.7320508075688772
95.0,2.0,1.4142135623730951
96.0,0.0,0.0
97.0,3.0,1.7320508075688772
98.0,5.0,2.23606797749979
99.0,6.0,2.449489742783178
100.0,2.0,1.4142135623730951
101.0,5.0,2.23606797749979
102.0,2.0,1.4142135623730951
103.0,4.0,2.0
104.0,2.0,1.4142135623730951
105.0,4.0,2.0
106.0,3.0,1.7320508075688772
107.0,0.0,0.0
108.0,3.0,1.7320508075688772
109.0,3.0,1.7320508075688772
110.0,0.0,0.0
111.0,4.0,2.0
112.0,3.0,1.7320508075688772
113.0,2.0,1.4142135623730951
114.0,3.0,1.7320508075688772
115.0,1.0,1.0
116.0,5.0,2.23606797749979
117.0,1.0,1.0
118.0,3.0,1.7320508075688772
119.0,3.0,1.7320508075688772
120.0,3.0,1.7320508075688772
121.0,2.0,1.4142135623730951
122.0,1.0,1.0
